problem_index,problem_text,top_matches
0,"검토회의 전에 요구사항 명세서를 미리 배포하여 사전 검토한 후 짧은 검토 회의를 통해 오류를 조기에 검출하는데 목적을 두는 요구 사항 검토 방법은?
워크 스루
이 문제는 요구사항 ...","[{'rank': 1, 'topic_id': 2, 'topic_description': '요구 분석 기법, UML, 애자일(Agile)을 포함한 요구사항 확인은 사용자와 이해관계자의 요구를 명확히 정의하고 문서화하는 주제입니다. 워크스루, 인스펙션, 프로토타이핑 등의 기법을 활용해 요구사항의 완성도를 높입니다.', 'combined_score': 0.6942671810938102, 'sbert_score': 0.6259763, 'keyword_score': 0.05269161250177316}, {'rank': 2, 'topic_id': 8, 'topic_description': '내외부 인터페이스 요구사항, 요구공학을 포함한 인터페이스 요구사항 확인은 시스템 간 데이터 교환 요구사항을 정의하는 주제입니다. 인터페이스의 기능과 표준을 명확히 설정해 상호운용성을 확보합니다.', 'combined_score': 0.6179622229241923, 'sbert_score': 0.5224528, 'keyword_score': 0.054465521254994216}, {'rank': 3, 'topic_id': 13, 'topic_description': '쿼리 성능 측정, 소스코드 인스펙션을 포함한 데이터 조작 프로시저 최적화는 데이터 처리 성능을 개선하는 주제입니다. 쿼리 튜닝과 코드 검토를 통해 효율성을 높입니다.', 'combined_score': 0.5697354322453729, 'sbert_score': 0.5033605, 'keyword_score': 0.04549151473621521}]"
1,"코드 설계에서 일정한 일련번호를 부여하는 방식의 코드는?
순차 코드
코드 설계에서 일정한 일련번호를 부여하는 방식은 순차 코드입니다.  예를 들어, 상품에 1, 2, 3…과 같이 ...","[{'rank': 1, 'topic_id': 41, 'topic_description': '데이터 타입, 변수, 연산자를 포함한 기본 문법 활용은 프로그래밍 언어의 기본 요소를 사용하는 주제입니다. 코드 작성의 기초를 다룹니다.', 'combined_score': 0.676566224940468, 'sbert_score': 0.5957078, 'keyword_score': 0.05717056391816969}, {'rank': 2, 'topic_id': 12, 'topic_description': '프로시저, 프로그램 디버깅, 단위테스트 도구를 포함한 데이터 조작 프로시저 작성은 데이터 처리 로직을 구현하는 주제입니다. 코드 안정성을 위해 디버깅과 테스트를 수행합니다.', 'combined_score': 0.6574591498794745, 'sbert_score': 0.62928843, 'keyword_score': 0.04402944283248856}, {'rank': 3, 'topic_id': 13, 'topic_description': '쿼리 성능 측정, 소스코드 인스펙션을 포함한 데이터 조작 프로시저 최적화는 데이터 처리 성능을 개선하는 주제입니다. 쿼리 튜닝과 코드 검토를 통해 효율성을 높입니다.', 'combined_score': 0.5905785049381582, 'sbert_score': 0.5559021, 'keyword_score': 0.04169357937518886}]"
2,"객체지향 프로그램에서 데이터를 추상화하는 단위는?
클래스
객체지향 프로그래밍(OOP)에서 데이터를 추상화하는 기본 단위는 클래스입니다.  클래스는  데이터(멤버 변수, 속성)와 그...","[{'rank': 1, 'topic_id': 7, 'topic_description': '객체지향 프로그래밍(OOP), 디자인 패턴을 포함한 객체지향 설계는 클래스, 상속, 다형성, 캡슐화를 통해 소프트웨어 구조를 설계하는 주제입니다. GoF 디자인 패턴(예: Factory, Singleton)을 활용해 유지보수성을 향상시킵니다.', 'combined_score': 0.738779437384023, 'sbert_score': 0.6734743, 'keyword_score': 0.12663140548245577}, {'rank': 2, 'topic_id': 41, 'topic_description': '데이터 타입, 변수, 연산자를 포함한 기본 문법 활용은 프로그래밍 언어의 기본 요소를 사용하는 주제입니다. 코드 작성의 기초를 다룹니다.', 'combined_score': 0.6415131398283065, 'sbert_score': 0.6423759, 'keyword_score': 0.08079871487935149}, {'rank': 3, 'topic_id': 26, 'topic_description': 'DML, DCL, 윈도우 함수, 그룹 함수, 오류 처리를 포함한 응용 SQL 작성은 데이터 조작과 권한 관리를 위한 쿼리를 작성하는 주제입니다. 복잡한 데이터 분석을 지원합니다.', 'combined_score': 0.5849797246683284, 'sbert_score': 0.6352724, 'keyword_score': 0.04860226926683528}]"
3,"데이터 흐름도(DFD)의 구성요소에 포함되지 않는 것은?
data dictionary
데이터 흐름도(DFD)는 시스템의 데이터 흐름을 그림으로 나타내는 기법입니다.  마치 물이 파...","[{'rank': 1, 'topic_id': 37, 'topic_description': '데이터 품질 분석, 오류 데이터 측정을 포함한 데이터 정제는 데이터의 정확성과 완전성을 높이는 주제입니다. 데이터 오류를 식별하고 정정합니다.', 'combined_score': 0.5909465669488174, 'sbert_score': 0.4886832, 'keyword_score': 0.18223936725398765}, {'rank': 2, 'topic_id': 36, 'topic_description': '데이터 전환 수행 계획, 체크리스트, 데이터 검증을 포함한 데이터 전환 수행은 데이터 마이그레이션을 실행하는 주제입니다. 전환 과정의 정확성을 검증합니다.', 'combined_score': 0.5888323116399438, 'sbert_score': 0.5513684, 'keyword_score': 0.13461802041184262}, {'rank': 3, 'topic_id': 35, 'topic_description': '초기데이터 구축, ETL, 파일 처리 기술을 포함한 데이터 전환 기술은 데이터를 새로운 시스템으로 전환하는 주제입니다. 데이터 무결성과 효율적인 마이그레이션을 보장합니다.', 'combined_score': 0.5684370578485392, 'sbert_score': 0.5949635, 'keyword_score': 0.08425495738483121}]"
4,"소프트웨어 설계시 구축된 플랫폼의 성능특성 분석에 사용되는 측정 항목이 아닌 것은?
서버 튜닝(Server Tuning)
소프트웨어 설계 시 구축된 플랫폼의 성능 특성을 분석하려면...","[{'rank': 1, 'topic_id': 1, 'topic_description': '플랫폼 기능, 성능 특성, 운영체제, 네트워크, DBMS, 비즈니스융합분석을 포함한 현행 시스템 분석은 시스템의 하드웨어 및 소프트웨어 구성, 성능, 인터페이스를 평가하는 주제입니다. 이를 통해 시스템의 병목 현상을 식별하고 최적화 방안을 도출합니다.', 'combined_score': 0.8138106583345271, 'sbert_score': 0.7672633, 'keyword_score': 0.16615723744776012}, {'rank': 2, 'topic_id': 13, 'topic_description': '쿼리 성능 측정, 소스코드 인스펙션을 포함한 데이터 조작 프로시저 최적화는 데이터 처리 성능을 개선하는 주제입니다. 쿼리 튜닝과 코드 검토를 통해 효율성을 높입니다.', 'combined_score': 0.6944595563330868, 'sbert_score': 0.6232339, 'keyword_score': 0.1627281051100321}, {'rank': 3, 'topic_id': 39, 'topic_description': '보안 취약성 식별, API를 포함한 서버 프로그램 구현은 서버 측 애플리케이션을 개발하는 주제입니다. 안전하고 효율적인 서버 로직을 구현합니다.', 'combined_score': 0.6890187986468674, 'sbert_score': 0.6179993, 'keyword_score': 0.16168705993506854}]"
5,"UML 확장 모델에서 스테레오 타입 객체를 표현할 때 사용하는 기호로 맞는 것은?
《 》
UML(Unified Modeling Language)은 소프트웨어 시스템을 시각적으로 표...","[{'rank': 1, 'topic_id': 3, 'topic_description': '모델링 기법, 분석자동화 도구, 요구사항 관리 도구를 포함한 분석모델 확인은 시스템 요구사항을 시각화하고 검증하는 주제입니다. UML 다이어그램과 자동화 도구를 사용해 분석 모델의 정확성과 일관성을 확보합니다.', 'combined_score': 0.6900506433844295, 'sbert_score': 0.6125633, 'keyword_score': 0.06710273074321045}, {'rank': 2, 'topic_id': 2, 'topic_description': '요구 분석 기법, UML, 애자일(Agile)을 포함한 요구사항 확인은 사용자와 이해관계자의 요구를 명확히 정의하고 문서화하는 주제입니다. 워크스루, 인스펙션, 프로토타이핑 등의 기법을 활용해 요구사항의 완성도를 높입니다.', 'combined_score': 0.6487161806541518, 'sbert_score': 0.60530293, 'keyword_score': 0.05518321599163442}, {'rank': 3, 'topic_id': 41, 'topic_description': '데이터 타입, 변수, 연산자를 포함한 기본 문법 활용은 프로그래밍 언어의 기본 요소를 사용하는 주제입니다. 코드 작성의 기초를 다룹니다.', 'combined_score': 0.6176776249150309, 'sbert_score': 0.6329675, 'keyword_score': 0.03734388541846094}]"
6,"GoF(Gang of Four)의 디자인 패턴에서 행위 패턴에 속하는 것은?
Visitor
GoF 디자인 패턴은 객체지향 설계에서 자주 발생하는 문제들을 해결하기 위한 디자인 패턴...","[{'rank': 1, 'topic_id': 7, 'topic_description': '객체지향 프로그래밍(OOP), 디자인 패턴을 포함한 객체지향 설계는 클래스, 상속, 다형성, 캡슐화를 통해 소프트웨어 구조를 설계하는 주제입니다. GoF 디자인 패턴(예: Factory, Singleton)을 활용해 유지보수성을 향상시킵니다.', 'combined_score': 0.810969185705934, 'sbert_score': 0.76371145, 'keyword_score': 0.16230003215368444}, {'rank': 2, 'topic_id': 4, 'topic_description': 'UI 표준, UI 지침, 스토리보드를 포함한 UI 요구사항 확인은 사용자 인터페이스의 기능과 디자인 요구사항을 정의하는 주제입니다. 사용자 경험을 개선하기 위해 표준화된 지침과 시각적 설계안을 작성합니다.', 'combined_score': 0.5840129769858386, 'sbert_score': 0.6755502, 'keyword_score': 0.035359314123217724}, {'rank': 3, 'topic_id': 10, 'topic_description': '내외부 송수신, 데이터 명세화, 오류 처리 방안 명세화, 미들웨어 솔루션을 포함한 인터페이스 상세 설계는 인터페이스의 세부 구현을 설계하는 주제입니다. 데이터 흐름과 오류 대응 전략을 구체화합니다.', 'combined_score': 0.4991977831714554, 'sbert_score': 0.6151554, 'keyword_score': 0.005740117253751819}]"
7,"자료 사전에서 자료의 생략을 의미하는 기호는?
(　)
자료 사전에서 자료의 생략을 나타내는 기호는 괄호 안에 내용을 비워두는 것입니다.  데이터베이스나 프로그래밍에서 자료를 일시적...","[{'rank': 1, 'topic_id': 37, 'topic_description': '데이터 품질 분석, 오류 데이터 측정을 포함한 데이터 정제는 데이터의 정확성과 완전성을 높이는 주제입니다. 데이터 오류를 식별하고 정정합니다.', 'combined_score': 0.49045009545082935, 'sbert_score': 0.36306262, 'keyword_score': 0.02943159851391631}, {'rank': 2, 'topic_id': 33, 'topic_description': '데이터베이스 무결성, 칼럼 속성, 키 종류, 반정규화, 정규화를 포함한 물리 데이터베이스 모델링은 데이터베이스의 물리적 구조를 설계하는 주제입니다. 데이터 일관성을 유지합니다.', 'combined_score': 0.4250142014957138, 'sbert_score': 0.39500117, 'keyword_score': 0.016042173012846547}, {'rank': 3, 'topic_id': 43, 'topic_description': '라이브러리, 데이터 입출력, 예외 처리, 프로토타입을 포함한 라이브러리 활용은 소프트웨어 기능을 확장하는 주제입니다. 재사용 가능한 코드를 효율적으로 사용합니다.', 'combined_score': 0.36613378248300693, 'sbert_score': 0.3422964, 'keyword_score': 0.013582191715012173}]"
8,"트랜잭션이 올바르게 처리되고 있는지 데이터를 감시하고 제어하는 미들웨어는?
TP monitor
이 문제는 트랜잭션 처리의 안정성과 신뢰성을 보장하는 미들웨어를 묻고 있습니다.  트...","[{'rank': 1, 'topic_id': 11, 'topic_description': '스택, 큐, 리스트, 트리, 그래프를 포함한 자료구조는 데이터 저장과 처리의 효율성을 높이는 주제입니다. 알고리즘과 구조를 활용해 검색, 정렬, 순회 등의 작업을 최적화합니다.', 'combined_score': 0.5806885178985092, 'sbert_score': 0.47586066, 'keyword_score': 0.051647262915104096}, {'rank': 2, 'topic_id': 31, 'topic_description': '스토리지, 분산 데이터베이스, 이중화 구성, 암호화, 접근제어를 포함한 물리요소 조사 분석은 데이터베이스의 물리적 환경을 분석하는 주제입니다. 안정성과 보안성을 평가합니다.', 'combined_score': 0.5401514708713333, 'sbert_score': 0.5520028, 'keyword_score': 0.02544899279750443}, {'rank': 3, 'topic_id': 51, 'topic_description': 'IT 신기술, 서버장비 운영(Secure-OS, NAS, DAS, SAN, 고가용성)을 포함한 HW 구축 관리는 하드웨어 인프라를 관리하는 주제입니다. 시스템 안정성과 가용성을 보장합니다.', 'combined_score': 0.5088555830868479, 'sbert_score': 0.5281428, 'keyword_score': 0.02229646516041047}]"
9,"UI 설계 원칙에서 누구나 쉽게 이해하고 사용할 수 있어야 한다는 것은?
직관성
UI 설계의 핵심 목표는 사용자가 시스템을 쉽고 편리하게 사용할 수 있도록 만드는 것입니다.  문제...","[{'rank': 1, 'topic_id': 5, 'topic_description': '감성공학, UI 설계 도구를 포함한 UI 설계는 직관적이고 사용자 친화적인 인터페이스를 설계하는 주제입니다. 사용자 감정을 고려한 디자인과 도구를 활용해 효율적인 UI를 구현합니다.', 'combined_score': 0.7961409805938426, 'sbert_score': 0.7451762, 'keyword_score': 0.15788143340270328}, {'rank': 2, 'topic_id': 4, 'topic_description': 'UI 표준, UI 지침, 스토리보드를 포함한 UI 요구사항 확인은 사용자 인터페이스의 기능과 디자인 요구사항을 정의하는 주제입니다. 사용자 경험을 개선하기 위해 표준화된 지침과 시각적 설계안을 작성합니다.', 'combined_score': 0.7072702906185413, 'sbert_score': 0.6838223, 'keyword_score': 0.12647288254191677}, {'rank': 3, 'topic_id': 9, 'topic_description': '시스템 아키텍처, 인터페이스 시스템을 포함한 인터페이스 대상 식별은 시스템 간 연결 대상을 식별하는 주제입니다. 인터페이스의 구조와 역할을 분석해 통합 설계를 지원합니다.', 'combined_score': 0.5295003453267983, 'sbert_score': 0.6400324, 'keyword_score': 0.013794411072379891}]"
