problem_index,problem_text,matched_topic_id,matched_topic,similarity_score
0,"검토회의 전에 요구사항 명세서를 미리 배포하여 사전 검토한 후 짧은 검토 회의를 통해 오류를 조기에 검출하는데 목적을 두는 요구 사항 검토 방법은?
워크 스루
이 문제는 요구사항 ...",2,"요구 분석 기법, UML, 애자일(Agile) 등을 포함한 요구사항 확인에 관한 주제입니다.",0.58466095
1,"코드 설계에서 일정한 일련번호를 부여하는 방식의 코드는?
순차 코드
코드 설계에서 일정한 일련번호를 부여하는 방식은 순차 코드입니다.  예를 들어, 상품에 1, 2, 3…과 같이 ...",25,"트리거, 이벤트, 사용자 정의 함수, SQL 문법 등을 포함한 절차형 SQL 작성에 관한 주제입니다.",0.60536
2,"객체지향 프로그램에서 데이터를 추상화하는 단위는?
클래스
객체지향 프로그래밍(OOP)에서 데이터를 추상화하는 기본 단위는 클래스입니다.  클래스는  데이터(멤버 변수, 속성)와 그...",26,"DML, DCL, 윈도우 함수, 그룹 함수, 오류 처리 등을 포함한 응용 SQL 작성에 관한 주제입니다.",0.5856395
3,"데이터 흐름도(DFD)의 구성요소에 포함되지 않는 것은?
data dictionary
데이터 흐름도(DFD)는 시스템의 데이터 흐름을 그림으로 나타내는 기법입니다.  마치 물이 파...",11,"스택, 큐, 리스트 등 등을 포함한 자료구조에 관한 주제입니다.",0.6620488
4,"소프트웨어 설계시 구축된 플랫폼의 성능특성 분석에 사용되는 측정 항목이 아닌 것은?
서버 튜닝(Server Tuning)
소프트웨어 설계 시 구축된 플랫폼의 성능 특성을 분석하려면...",1,"플랫폼 기능 분석, 플랫폼 성능 특성 분석, 운영체제 분석, 네트워크 분석, DBMS 분석, 비즈니스융합분석 등을 포함한 현행 시스템 분석에 관한 주제입니다.",0.6997464
5,"UML 확장 모델에서 스테레오 타입 객체를 표현할 때 사용하는 기호로 맞는 것은?
《 》
UML(Unified Modeling Language)은 소프트웨어 시스템을 시각적으로 표...",42,"절차적 프로그래밍 언어, 객체지향 프로그래밍 언어, 스크립트 언어, 선언형 언어 등을 포함한 언어특성 활용에 관한 주제입니다.",0.63444304
6,"GoF(Gang of Four)의 디자인 패턴에서 행위 패턴에 속하는 것은?
Visitor
GoF 디자인 패턴은 객체지향 설계에서 자주 발생하는 문제들을 해결하기 위한 디자인 패턴...",7,"객체지향(OOP), 디자인 패턴 등을 포함한 객체지향 설계에 관한 주제입니다.",0.7449938
7,"자료 사전에서 자료의 생략을 의미하는 기호는?
(　)
자료 사전에서 자료의 생략을 나타내는 기호는 괄호 안에 내용을 비워두는 것입니다.  데이터베이스나 프로그래밍에서 자료를 일시적...",11,"스택, 큐, 리스트 등 등을 포함한 자료구조에 관한 주제입니다.",0.58031565
8,"트랜잭션이 올바르게 처리되고 있는지 데이터를 감시하고 제어하는 미들웨어는?
TP monitor
이 문제는 트랜잭션 처리의 안정성과 신뢰성을 보장하는 미들웨어를 묻고 있습니다.  트...",13,"쿼리(Query) 성능 측정, 소스코드 인스펙션 등을 포함한 데이터 조작 프로시저 최적화에 관한 주제입니다.",0.55705386
9,"UI 설계 원칙에서 누구나 쉽게 이해하고 사용할 수 있어야 한다는 것은?
직관성
UI 설계의 핵심 목표는 사용자가 시스템을 쉽고 편리하게 사용할 수 있도록 만드는 것입니다.  문제...",5,"감성공학, UI 설계 도구 등을 포함한 UI 설계에 관한 주제입니다.",0.7126152
10,"XP(eXtreme Programming)의 5가지 가치로 거리가 먼 것은?
정형분석
XP(eXtreme Programming)는 소프트웨어 개발 방법론 중 하나로, 빠르게 변화하...",21,"알고리즘, 소스코드 품질분석 도구, 코드 최적화 등을 포함한 애플리케이션 성능 개선에 관한 주제입니다.",0.6455672
11,"UML 모델에서 사용하는 Structural Diagram 에 속하지 않은 것은?
Activity Diagram
이 문제는 UML(Unified Modeling Language) ...",30,"데이터모델 개념, 개체-관계(E-R)모델, 논리적 데이터모델링, 데이터베이스 정규화, 논리 데이터모델 품질검증 등을 포함한 데이터모델링 및 설계에 관한 주제입니다.",0.64194614
12,"소프트웨어 개발 방법 중 요구사항 분석(requirements annalysis)과 거리가 먼 것은?
설계 명세서 작성
소프트웨어 개발은 크게 요구사항 분석, 설계, 구현, 테스트...",2,"요구 분석 기법, UML, 애자일(Agile) 등을 포함한 요구사항 확인에 관한 주제입니다.",0.75732666
13,"럼바우(Rumbaugh)의 객체지향 분석 절차를 가장 바르게 나열한 것은?
객체 모형→동적 모형→기능 모형
럼바우의 객체지향 분석 절차는 시스템을 객체, 동작, 기능의 세 가지 관...",30,"데이터모델 개념, 개체-관계(E-R)모델, 논리적 데이터모델링, 데이터베이스 정규화, 논리 데이터모델 품질검증 등을 포함한 데이터모델링 및 설계에 관한 주제입니다.",0.7010478
